state,Year,Date
New Hampshire,2068,2068-08-13
New Hampshire,2068,2068-08-14
New Hampshire,2068,2068-08-15
New Hampshire,2068,2068-08-28
New Hampshire,2069,2069-06-22
New Hampshire,2069,2069-06-23
New Hampshire,2069,2069-06-27
New Hampshire,2069,2069-07-07
New Hampshire,2069,2069-07-19
New Hampshire,2069,2069-07-23
New Hampshire,2069,2069-07-24
New Hampshire,2069,2069-07-25
New Hampshire,2069,2069-07-26
New Hampshire,2069,2069-07-27
New Hampshire,2069,2069-08-06
New Hampshire,2069,2069-08-07
New Hampshire,2069,2069-09-10
New Hampshire,2069,2069-09-11
New Hampshire,2070,2070-04-27
New Hampshire,2070,2070-07-04
New Hampshire,2070,2070-07-15
New Hampshire,2070,2070-07-16
New Hampshire,2070,2070-07-18
New Hampshire,2070,2070-07-19
New Hampshire,2070,2070-07-20
New Hampshire,2070,2070-08-03
New Hampshire,2070,2070-08-04
New Hampshire,2070,2070-08-05
New Hampshire,2070,2070-08-18
New Hampshire,2070,2070-08-28
New Hampshire,2071,2071-06-10
New Hampshire,2071,2071-06-20
New Hampshire,2071,2071-06-26
New Hampshire,2071,2071-06-27
New Hampshire,2071,2071-06-28
New Hampshire,2071,2071-07-16
New Hampshire,2071,2071-07-17
New Hampshire,2071,2071-07-18
New Hampshire,2071,2071-07-19
New Hampshire,2071,2071-07-20
New Hampshire,2071,2071-07-21
New Hampshire,2071,2071-07-23
New Hampshire,2071,2071-08-01
New Hampshire,2071,2071-08-02
New Hampshire,2071,2071-08-13
New Hampshire,2071,2071-08-14
New Hampshire,2071,2071-08-16
New Hampshire,2071,2071-08-17
New Hampshire,2071,2071-08-27
New Hampshire,2071,2071-08-28
New Hampshire,2071,2071-08-30
New Hampshire,2071,2071-09-16
New Hampshire,2072,2072-05-22
New Hampshire,2072,2072-05-23
New Hampshire,2072,2072-06-30
New Hampshire,2072,2072-07-20
New Hampshire,2072,2072-08-25
New Hampshire,2072,2072-09-17
New Hampshire,2073,2073-05-11
New Hampshire,2073,2073-06-14
New Hampshire,2073,2073-06-18
New Hampshire,2073,2073-06-26
New Hampshire,2073,2073-07-06
New Hampshire,2073,2073-07-07
New Hampshire,2073,2073-07-08
New Hampshire,2073,2073-07-09
New Hampshire,2073,2073-07-10
New Hampshire,2073,2073-07-11
New Hampshire,2073,2073-07-12
New Hampshire,2073,2073-07-28
New Hampshire,2073,2073-08-01
New Hampshire,2073,2073-08-03
New Hampshire,2073,2073-08-25
New Hampshire,2073,2073-08-26
New Hampshire,2073,2073-08-27
New Hampshire,2073,2073-08-28
New Hampshire,2073,2073-08-31
New Hampshire,2074,2074-06-17
New Hampshire,2074,2074-06-18
New Hampshire,2074,2074-06-19
New Hampshire,2074,2074-07-02
New Hampshire,2074,2074-07-06
New Hampshire,2074,2074-07-10
New Hampshire,2074,2074-07-13
New Hampshire,2074,2074-07-19
New Hampshire,2074,2074-07-20
New Hampshire,2074,2074-07-21
New Hampshire,2074,2074-07-25
New Hampshire,2074,2074-08-01
New Hampshire,2074,2074-08-04
New Hampshire,2075,2075-06-01
New Hampshire,2075,2075-06-18
New Hampshire,2075,2075-06-19
New Hampshire,2075,2075-06-25
New Hampshire,2075,2075-06-30
New Hampshire,2075,2075-07-06
New Hampshire,2075,2075-07-07
New Hampshire,2075,2075-07-13
New Hampshire,2075,2075-07-14
New Hampshire,2075,2075-07-15
New Hampshire,2075,2075-07-20
New Hampshire,2075,2075-07-24
New Hampshire,2075,2075-07-25
New Hampshire,2075,2075-07-27
New Hampshire,2075,2075-07-29
New Hampshire,2075,2075-07-31
New Hampshire,2075,2075-08-01
New Hampshire,2075,2075-08-04
New Hampshire,2075,2075-08-16
New Hampshire,2075,2075-08-17
New Hampshire,2075,2075-08-21
New Hampshire,2076,2076-05-20
New Hampshire,2076,2076-07-08
New Hampshire,2076,2076-07-14
New Hampshire,2076,2076-08-05
New Hampshire,2076,2076-08-06
New Hampshire,2076,2076-08-07
New Hampshire,2076,2076-08-08
New Hampshire,2076,2076-08-23
New Hampshire,2077,2077-06-10
New Hampshire,2077,2077-06-11
New Hampshire,2077,2077-06-21
New Hampshire,2077,2077-06-22
New Hampshire,2077,2077-06-26
New Hampshire,2077,2077-06-29
New Hampshire,2077,2077-06-30
New Hampshire,2077,2077-07-01
New Hampshire,2077,2077-07-13
New Hampshire,2077,2077-07-16
New Hampshire,2077,2077-07-17
New Hampshire,2077,2077-07-18
New Hampshire,2077,2077-07-27
New Hampshire,2077,2077-07-28
New Hampshire,2077,2077-07-31
New Hampshire,2077,2077-08-01
New Hampshire,2077,2077-08-10
New Hampshire,2077,2077-08-11
New Hampshire,2077,2077-08-16
New Hampshire,2077,2077-08-17
New Hampshire,2078,2078-05-29
New Hampshire,2078,2078-07-14
New Hampshire,2078,2078-07-15
New Hampshire,2078,2078-07-16
New Hampshire,2078,2078-07-21
New Hampshire,2078,2078-07-22
New Hampshire,2078,2078-07-29
New Hampshire,2078,2078-08-09
New Hampshire,2078,2078-08-10
New Hampshire,2078,2078-08-24
New Hampshire,2078,2078-09-27
New Hampshire,2079,2079-05-31
New Hampshire,2079,2079-06-07
New Hampshire,2079,2079-06-08
New Hampshire,2079,2079-06-26
New Hampshire,2079,2079-06-27
New Hampshire,2079,2079-06-28
New Hampshire,2079,2079-07-04
New Hampshire,2079,2079-07-05
New Hampshire,2079,2079-07-06
New Hampshire,2079,2079-07-15
New Hampshire,2079,2079-07-16
New Hampshire,2079,2079-07-17
New Hampshire,2079,2079-07-18
New Hampshire,2079,2079-07-23
New Hampshire,2079,2079-07-24
New Hampshire,2079,2079-07-27
New Hampshire,2079,2079-07-28
New Hampshire,2079,2079-07-29
New Hampshire,2079,2079-07-30
New Hampshire,2079,2079-07-31
New Hampshire,2079,2079-08-01
New Hampshire,2079,2079-08-13
New Hampshire,2079,2079-08-14
New Hampshire,2079,2079-08-17
New Hampshire,2079,2079-08-24
New Hampshire,2079,2079-08-25
New Hampshire,2079,2079-08-28
New Hampshire,2079,2079-09-03
New Hampshire,2079,2079-09-04
New Hampshire,2079,2079-09-09
New Hampshire,2080,2080-05-07
New Hampshire,2080,2080-08-08
New Hampshire,2080,2080-08-09
New Hampshire,2080,2080-08-31
New Hampshire,2080,2080-09-01
New Hampshire,2081,2081-05-02
New Hampshire,2081,2081-05-03
New Hampshire,2081,2081-06-14
New Hampshire,2081,2081-06-15
New Hampshire,2081,2081-06-16
New Hampshire,2081,2081-06-19
New Hampshire,2081,2081-06-20
New Hampshire,2081,2081-06-26
New Hampshire,2081,2081-06-30
New Hampshire,2081,2081-07-21
New Hampshire,2081,2081-07-22
New Hampshire,2081,2081-07-23
New Hampshire,2081,2081-07-24
New Hampshire,2081,2081-07-25
New Hampshire,2081,2081-08-02
New Hampshire,2081,2081-08-05
New Hampshire,2081,2081-08-06
New Hampshire,2081,2081-08-07
New Hampshire,2081,2081-08-08
New Hampshire,2081,2081-08-09
New Hampshire,2081,2081-08-10
New Hampshire,2082,2082-06-26
New Hampshire,2082,2082-06-27
New Hampshire,2082,2082-07-01
New Hampshire,2082,2082-07-02
New Hampshire,2082,2082-07-03
New Hampshire,2082,2082-07-04
New Hampshire,2082,2082-07-08
New Hampshire,2082,2082-07-22
New Hampshire,2082,2082-07-23
New Hampshire,2082,2082-07-29
New Hampshire,2082,2082-07-30
New Hampshire,2082,2082-07-31
New Hampshire,2082,2082-08-01
New Hampshire,2082,2082-08-03
New Hampshire,2082,2082-08-04
New Hampshire,2082,2082-08-05
New Hampshire,2082,2082-08-11
New Hampshire,2082,2082-08-12
New Hampshire,2082,2082-08-13
New Hampshire,2082,2082-08-14
New Hampshire,2082,2082-08-15
New Hampshire,2082,2082-08-16
New Hampshire,2082,2082-08-17
New Hampshire,2082,2082-08-18
New Hampshire,2082,2082-09-08
New Hampshire,2082,2082-09-09
New Hampshire,2082,2082-09-10
New Hampshire,2083,2083-06-24
New Hampshire,2083,2083-06-25
New Hampshire,2083,2083-06-26
New Hampshire,2083,2083-06-27
New Hampshire,2083,2083-07-04
New Hampshire,2083,2083-07-05
New Hampshire,2083,2083-07-06
New Hampshire,2083,2083-07-08
New Hampshire,2083,2083-07-26
New Hampshire,2083,2083-08-21
New Hampshire,2083,2083-08-22
New Hampshire,2084,2084-06-09
New Hampshire,2084,2084-07-30
New Hampshire,2084,2084-07-31
New Hampshire,2084,2084-08-28
New Hampshire,2084,2084-08-29
New Hampshire,2085,2085-06-11
New Hampshire,2085,2085-06-13
New Hampshire,2085,2085-06-25
New Hampshire,2085,2085-06-26
New Hampshire,2085,2085-06-29
New Hampshire,2085,2085-07-11
New Hampshire,2085,2085-07-19
New Hampshire,2085,2085-07-22
New Hampshire,2085,2085-07-25
New Hampshire,2085,2085-07-26
New Hampshire,2085,2085-07-27
New Hampshire,2085,2085-08-02
New Hampshire,2085,2085-08-05
New Hampshire,2085,2085-08-08
New Hampshire,2085,2085-08-09
New Hampshire,2085,2085-08-11
New Hampshire,2085,2085-08-13
New Hampshire,2085,2085-08-21
New Hampshire,2086,2086-06-18
New Hampshire,2086,2086-06-19
New Hampshire,2086,2086-07-14
New Hampshire,2086,2086-07-15
New Hampshire,2086,2086-07-16
New Hampshire,2086,2086-07-17
New Hampshire,2086,2086-07-18
New Hampshire,2086,2086-07-26
New Hampshire,2086,2086-07-27
New Hampshire,2086,2086-07-29
New Hampshire,2086,2086-08-01
New Hampshire,2086,2086-08-02
New Hampshire,2086,2086-08-03
New Hampshire,2087,2087-05-25
New Hampshire,2087,2087-06-26
New Hampshire,2087,2087-06-27
New Hampshire,2087,2087-07-26
New Hampshire,2087,2087-07-27
New Hampshire,2087,2087-08-02
New Hampshire,2087,2087-08-03
New Hampshire,2087,2087-08-04
New Hampshire,2087,2087-08-08
New Hampshire,2087,2087-08-12
New Hampshire,2087,2087-08-24
New Hampshire,2087,2087-08-25
New Hampshire,2087,2087-08-30
New Hampshire,2087,2087-09-07
New Hampshire,2087,2087-09-26
New Hampshire,2088,2088-06-07
New Hampshire,2088,2088-06-08
New Hampshire,2088,2088-06-09
New Hampshire,2088,2088-06-10
New Hampshire,2088,2088-07-07
New Hampshire,2088,2088-07-08
New Hampshire,2088,2088-07-09
New Hampshire,2088,2088-07-17
New Hampshire,2088,2088-07-18
New Hampshire,2088,2088-07-19
New Hampshire,2088,2088-09-04
