state,Year,Date
Kentucky,2088,2088-08-05
Kentucky,2088,2088-08-29
Kentucky,2088,2088-08-31
Kentucky,2088,2088-09-01
Kentucky,2088,2088-09-02
Kentucky,2088,2088-09-03
Kentucky,2088,2088-09-13
Kentucky,2090,2090-06-21
Kentucky,2090,2090-06-22
Kentucky,2090,2090-07-16
Kentucky,2090,2090-07-23
Kentucky,2090,2090-07-24
Kentucky,2090,2090-08-04
Kentucky,2090,2090-08-05
Kentucky,2090,2090-08-09
Kentucky,2090,2090-08-10
Kentucky,2090,2090-08-11
Kentucky,2090,2090-08-12
Kentucky,2090,2090-08-13
Kentucky,2090,2090-08-14
Kentucky,2090,2090-08-15
Kentucky,2090,2090-08-20
Kentucky,2090,2090-09-02
Kentucky,2090,2090-09-21
Kentucky,2090,2090-09-22
Kentucky,2090,2090-09-23
Kentucky,2091,2091-07-10
Kentucky,2091,2091-07-11
Kentucky,2091,2091-07-12
Kentucky,2091,2091-07-20
Kentucky,2091,2091-07-21
Kentucky,2091,2091-07-22
Kentucky,2091,2091-07-26
Kentucky,2091,2091-07-27
Kentucky,2091,2091-07-28
Kentucky,2091,2091-07-29
Kentucky,2091,2091-07-30
Kentucky,2091,2091-08-01
Kentucky,2091,2091-08-02
Kentucky,2091,2091-08-03
Kentucky,2091,2091-08-07
Kentucky,2091,2091-08-08
Kentucky,2091,2091-08-20
Kentucky,2091,2091-08-21
Kentucky,2091,2091-08-24
Kentucky,2091,2091-09-01
Kentucky,2091,2091-09-02
Kentucky,2091,2091-09-03
Kentucky,2092,2092-06-28
Kentucky,2092,2092-06-29
Kentucky,2092,2092-06-30
Kentucky,2092,2092-07-01
Kentucky,2092,2092-07-02
Kentucky,2092,2092-07-04
Kentucky,2092,2092-07-05
Kentucky,2092,2092-07-06
Kentucky,2092,2092-07-07
Kentucky,2092,2092-07-08
Kentucky,2092,2092-07-23
Kentucky,2092,2092-07-24
Kentucky,2092,2092-07-25
Kentucky,2092,2092-07-26
Kentucky,2092,2092-07-31
Kentucky,2092,2092-08-01
Kentucky,2092,2092-08-02
Kentucky,2092,2092-08-04
Kentucky,2092,2092-08-08
Kentucky,2092,2092-08-30
Kentucky,2092,2092-09-07
Kentucky,2093,2093-09-10
Kentucky,2096,2096-06-16
Kentucky,2096,2096-07-24
Kentucky,2098,2098-07-04
Kentucky,2098,2098-07-05
Kentucky,2098,2098-08-27
Kentucky,2098,2098-09-02
Kentucky,2098,2098-09-03
Kentucky,2098,2098-09-04
Kentucky,2098,2098-09-05
Kentucky,2098,2098-09-20
Kentucky,2099,2099-08-13
Kentucky,2099,2099-08-18
Kentucky,2099,2099-08-19
Kentucky,2099,2099-08-20
Kentucky,2099,2099-09-10
Kentucky,2099,2099-09-13
Kentucky,2099,2099-09-16
