region,Year,average_total_load
p89,2083,175191.31333333332
p89,2084,174612.72
p89,2085,178734.1433333333
p89,2086,174897.71666666667
p89,2087,174897.71666666667
p89,2088,175191.31333333332
p89,2089,174612.72
p89,2090,174612.72
p89,2091,178734.1433333333
p89,2092,174897.71666666667
p89,2093,175191.31333333332
p89,2094,175191.31333333332
p89,2095,174612.72
p89,2096,174612.72
p89,2097,174897.71666666667
p89,2098,174897.71666666667
p89,2099,175191.31333333332
p64,2020,136436.285
p64,2021,132853.95
p64,2022,125756.92
p64,2023,129339.255
p64,2024,136436.285
p64,2025,136436.285
p64,2026,136436.285
p64,2027,132853.95
p64,2028,125756.92
p64,2029,136436.285
p64,2030,136436.285
p64,2031,136436.285
p64,2032,136436.285
p64,2033,125756.92
p64,2034,129339.255
p64,2035,136436.285
p64,2036,136436.285
p64,2037,136436.285
p64,2038,132853.95
p64,2039,125756.92
p64,2040,129339.255
p64,2041,136436.285
p64,2042,136436.285
p64,2043,136436.285
p64,2044,132853.95
p64,2045,129339.255
p64,2046,136436.285
p64,2047,136436.285
p64,2048,136436.285
p64,2049,132853.95
p64,2050,125756.92
p64,2051,129339.255
p64,2052,136436.285
p64,2053,136436.285
p64,2054,136436.285
p64,2055,132853.95
p64,2056,125756.92
p64,2057,136436.285
p64,2058,136436.285
p64,2059,136436.285
p64,2060,136436.285
p64,2061,125756.92
p64,2062,129339.255
p64,2063,136436.285
p64,2064,136436.285
p64,2065,136436.285
p64,2066,132853.95
p64,2067,125756.92
p64,2068,129339.255
p64,2069,136436.285
p64,2070,136436.285
p64,2071,136436.285
p64,2072,132853.95
p64,2073,129339.255
p64,2074,136436.285
p64,2075,136436.285
p64,2076,136436.285
p64,2077,132853.95
p64,2078,125756.92
p64,2079,129339.255
p64,2080,136436.285
p64,2081,136436.285
p64,2082,136436.285
p64,2083,132853.95
p64,2084,125756.92
p64,2085,136436.285
p64,2086,136436.285
p64,2087,136436.285
p64,2088,136436.285
p64,2089,125756.92
p64,2090,129339.255
p64,2091,136436.285
p64,2092,136436.285
p64,2093,136436.285
p64,2094,132853.95
p64,2095,125756.92
p64,2096,129339.255
p64,2097,136436.285
p64,2098,136436.285
p64,2099,136436.285
p81,2020,84687.015
p81,2021,78327.67499999999
p81,2022,81532.61499999999
p81,2023,84687.015
p81,2024,84687.015
p81,2025,84687.015
p81,2026,81482.075
p81,2027,78327.67499999999
p81,2028,81532.61499999999
p81,2029,84687.015
p81,2030,84687.015
p81,2031,84687.015
p81,2032,81482.075
p81,2033,81532.61499999999
p81,2034,84687.015
p81,2035,84687.015
p81,2036,84687.015
p81,2037,81482.075
p81,2038,78327.67499999999
p81,2039,81532.61499999999
p81,2040,84687.015
p81,2041,84687.015
p81,2042,84687.015
p81,2043,81482.075
p81,2044,78327.67499999999
p81,2045,84687.015
p81,2046,84687.015
p81,2047,84687.015
p81,2048,84687.015
p81,2049,78327.67499999999
p81,2050,81532.61499999999
p81,2051,84687.015
p81,2052,84687.015
p81,2053,84687.015
p81,2054,81482.075
p81,2055,78327.67499999999
p81,2056,81532.61499999999
p81,2057,84687.015
p81,2058,84687.015
p81,2059,84687.015
p81,2060,81482.075
p81,2061,81532.61499999999
p81,2062,84687.015
p81,2063,84687.015
p81,2064,84687.015
p81,2065,81482.075
p81,2066,78327.67499999999
p81,2067,81532.61499999999
p81,2068,84687.015
p81,2069,84687.015
p81,2070,84687.015
p81,2071,81482.075
p81,2072,78327.67499999999
p81,2073,84687.015
p81,2074,84687.015
p81,2075,84687.015
p81,2076,84687.015
p81,2077,78327.67499999999
p81,2078,81532.61499999999
p81,2079,84687.015
p81,2080,84687.015
p81,2081,84687.015
p81,2082,81482.075
p81,2083,78327.67499999999
p81,2084,81532.61499999999
p81,2085,84687.015
p81,2086,84687.015
p81,2087,84687.015
p81,2088,81482.075
p81,2089,81532.61499999999
p81,2090,84687.015
p81,2091,84687.015
p81,2092,84687.015
p81,2093,81482.075
p81,2094,78327.67499999999
p81,2095,81532.61499999999
p81,2096,84687.015
p81,2097,84687.015
p81,2098,84687.015
p81,2099,81482.075
p40,2020,37647.573333333334
p40,2021,35650.23333333334
p40,2022,34972.926666666666
p40,2023,36256.24333333333
p40,2024,37647.573333333334
p40,2025,37647.573333333334
p40,2026,37647.573333333334
p40,2027,35650.23333333334
p40,2028,34972.926666666666
p40,2029,37647.573333333334
p40,2030,37647.573333333334
p40,2031,37647.573333333334
p40,2032,37647.573333333334
p40,2033,34972.926666666666
p40,2034,36256.24333333333
p40,2035,37647.573333333334
p40,2036,37647.573333333334
p40,2037,37647.573333333334
p40,2038,35650.23333333334
p40,2039,34972.926666666666
p40,2040,36256.24333333333
p40,2041,37647.573333333334
p40,2042,37647.573333333334
p40,2043,37647.573333333334
p40,2044,35650.23333333334
p40,2045,36256.24333333333
p40,2046,37647.573333333334
p40,2047,37647.573333333334
p40,2048,37647.573333333334
p40,2049,35650.23333333334
p40,2050,34972.926666666666
p40,2051,36256.24333333333
p40,2052,37647.573333333334
p40,2053,37647.573333333334
p40,2054,37647.573333333334
p40,2055,35650.23333333334
p40,2056,34972.926666666666
p40,2057,37647.573333333334
p40,2058,37647.573333333334
p40,2059,37647.573333333334
p40,2060,37647.573333333334
p40,2061,34972.926666666666
p40,2062,36256.24333333333
p40,2063,37647.573333333334
p40,2064,37647.573333333334
p40,2065,37647.573333333334
p40,2066,35650.23333333334
p40,2067,34972.926666666666
p40,2068,36256.24333333333
p40,2069,37647.573333333334
p40,2070,37647.573333333334
p40,2071,37647.573333333334
p40,2072,35650.23333333334
p40,2073,36256.24333333333
p40,2074,37647.573333333334
p40,2075,37647.573333333334
p40,2076,37647.573333333334
p40,2077,35650.23333333334
p40,2078,34972.926666666666
p40,2079,36256.24333333333
p40,2080,37647.573333333334
p40,2081,37647.573333333334
p40,2082,37647.573333333334
p40,2083,35650.23333333334
p40,2084,34972.926666666666
p40,2085,37647.573333333334
p40,2086,37647.573333333334
p40,2087,37647.573333333334
p40,2088,37647.573333333334
p40,2089,34972.926666666666
p40,2090,36256.24333333333
p40,2091,37647.573333333334
p40,2092,37647.573333333334
p40,2093,37647.573333333334
p40,2094,35650.23333333334
p40,2095,34972.926666666666
p40,2096,36256.24333333333
p40,2097,37647.573333333334
p40,2098,37647.573333333334
p40,2099,37647.573333333334
p10,2020,342778.48
p10,2021,330381.195
p10,2022,329007.825
p10,2023,318550.14
p10,2024,342778.48
p10,2025,342778.48
p10,2026,342778.48
p10,2027,330381.195
p10,2028,318550.14
p10,2029,332320.79500000004
p10,2030,342778.48
p10,2031,342778.48
p10,2032,330381.195
p10,2033,329007.825
p10,2034,318550.14
p10,2035,332320.79500000004
p10,2036,342778.48
p10,2037,342778.48
p10,2038,330381.195
p10,2039,329007.825
p10,2040,332320.79500000004
p10,2041,342778.48
p10,2042,342778.48
p10,2043,342778.48
p10,2044,329007.825
p10,2045,318550.14
p10,2046,332320.79500000004
p10,2047,342778.48
p10,2048,342778.48
p10,2049,330381.195
p10,2050,329007.825
p10,2051,318550.14
p10,2052,342778.48
p10,2053,342778.48
p10,2054,342778.48
p10,2055,330381.195
p10,2056,318550.14
p10,2057,332320.79500000004
p10,2058,342778.48
p10,2059,342778.48
p10,2060,330381.195
p10,2061,329007.825
p10,2062,318550.14
p10,2063,332320.79500000004
p10,2064,342778.48
p10,2065,342778.48
p10,2066,330381.195
p10,2067,329007.825
p10,2068,332320.79500000004
p10,2069,342778.48
p10,2070,342778.48
p10,2071,342778.48
p10,2072,329007.825
p10,2073,318550.14
p10,2074,332320.79500000004
p10,2075,342778.48
p10,2076,342778.48
p10,2077,330381.195
p10,2078,329007.825
p10,2079,318550.14
p10,2080,342778.48
p10,2081,342778.48
p10,2082,342778.48
p10,2083,330381.195
p10,2084,318550.14
p10,2085,332320.79500000004
p10,2086,342778.48
p10,2087,342778.48
p10,2088,330381.195
p10,2089,329007.825
p10,2090,318550.14
p10,2091,332320.79500000004
p10,2092,342778.48
p10,2093,342778.48
p10,2094,330381.195
p10,2095,329007.825
p10,2096,332320.79500000004
p10,2097,342778.48
p10,2098,342778.48
p10,2099,342778.48
p9,2020,307395.8
p9,2021,307395.8
p9,2022,275293.51
p9,2023,307395.8
p9,2024,283490.48
p9,2025,307395.8
p9,2026,307395.8
p9,2027,307395.8
p9,2028,307395.8
p9,2029,283490.48
p9,2030,283490.48
p9,2031,307395.8
p9,2032,307395.8
p9,2033,275293.51
p9,2034,307395.8
p9,2035,283490.48
p9,2036,307395.8
p9,2037,307395.8
p9,2038,307395.8
p9,2039,275293.51
p9,2040,283490.48
p9,2041,283490.48
p9,2042,307395.8
p9,2043,307395.8
p9,2044,275293.51
p9,2045,307395.8
p9,2046,283490.48
p9,2047,283490.48
p9,2048,307395.8
p9,2049,307395.8
p9,2050,275293.51
p9,2051,307395.8
p9,2052,283490.48
p9,2053,307395.8
p9,2054,307395.8
p9,2055,307395.8
p9,2056,307395.8
p9,2057,283490.48
p9,2058,283490.48
p9,2059,307395.8
p9,2060,307395.8
p9,2061,275293.51
p9,2062,307395.8
p9,2063,283490.48
p9,2064,307395.8
p9,2065,307395.8
p9,2066,307395.8
p9,2067,275293.51
p9,2068,283490.48
p9,2069,283490.48
p9,2070,307395.8
p9,2071,307395.8
p9,2072,275293.51
p9,2073,307395.8
