region,Year,cdd
p57,2029,1327.5432354248137
p57,2030,944.6396236446358
p57,2031,1094.7737351598566
p57,2032,1033.3439173110382
p57,2033,1367.9993835349728
p57,2034,1186.2171949155954
p57,2035,1186.4522373497953
p57,2036,1277.6759558489214
p57,2037,1340.1092268569737
p57,2038,1045.6832534050804
p57,2039,936.6538763620172
p57,2040,1241.6493432993016
p57,2041,1217.2586756225803
p57,2042,1275.7609938049743
p57,2043,1179.2729461468412
p57,2044,1073.2526814452403
p57,2045,1049.0940630422488
p57,2046,964.297306925292
p57,2047,1107.9174574779995
p57,2048,1193.5029403546198
p57,2049,1192.0214878253505
p57,2050,1336.900866742205
p57,2051,1109.548619683103
p57,2052,828.3511436165086
p57,2053,1322.3077511934698
p57,2054,1369.3868476478483
p57,2055,1150.438573852135
p57,2056,914.7561556736044
p57,2057,788.3021058498326
p57,2058,1251.4564628855933
p57,2059,1177.8123957811067
p57,2060,1073.312356852788
p57,2061,937.8813733669288
p57,2062,1014.0742274929888
p57,2063,1211.3061176266806
p57,2064,966.4277595671044
p57,2065,1152.451055452101
p57,2066,860.5431355923702
p57,2067,956.5915682006012
p57,2068,1050.3786149089358
p57,2069,1105.3047760356776
p57,2070,719.278061393875
p57,2071,886.8681503480809
p57,2072,826.5662540475271
p57,2073,1090.7016193153547
p57,2074,947.2843919568433
p57,2075,943.9158296508772
p57,2076,1019.9094679733678
p57,2077,1064.7207018834224
p57,2078,833.4445943900719
p57,2079,707.3134270417518
p57,2080,962.6339396436638
p57,2081,969.1096228562938
p57,2082,1013.6983190198129
p57,2083,923.7936804803992
p57,2084,845.9057982537686
p57,2085,807.2630058745524
p57,2086,726.2291009332996
p57,2087,879.5560924970964
p57,2088,900.9279961280196
p57,2089,935.4842306873072
p57,2090,1087.3749134197828
p57,2091,866.9974485732321
p57,2092,614.0310806661081
p57,2093,1066.5387603942522
p57,2094,1102.953708600106
p57,2095,922.8529694643298
p57,2096,711.5814942209759
p57,2097,584.2878651341787
p57,2098,981.4919992987844
p57,2099,879.8556184107581
p56,2020,2151.4384004651097
p56,2021,1889.656615422346
p56,2022,2027.3186054510625
p56,2023,2283.4453249012395
p56,2024,2021.8550002334848
p56,2025,2182.569707318062
p56,2026,1768.0470504086636
p56,2027,1854.6531065888105
p56,2028,2037.437442934614
p56,2029,2094.024951270418
p56,2030,1648.5700547884064
p56,2031,1719.9052998866837
p56,2032,1713.5982918353543
p56,2033,2183.0185275437443
p56,2034,1913.805446807789
p56,2035,1939.2914535966972
p56,2036,2127.840668299653
p56,2037,2028.552960692844
p56,2038,1696.4874893869487
p56,2039,1583.9909879985548
p56,2040,1984.576872209303
p56,2041,1843.954314344416
p56,2042,1978.602915660715
p56,2043,1867.767533053372
p56,2044,1759.159383733555
p56,2045,1756.9713080646902
p56,2046,1628.8903022513923
p56,2047,1776.8864090076795
p56,2048,2049.923973197044
p56,2049,1939.1291516558213
p56,2050,1970.6324447038105
p56,2051,1812.9086171918932
p56,2052,1372.141103288615
p56,2053,2092.24989729864
p56,2054,2157.75322088233
p56,2055,1768.5275596544614
p56,2056,1572.995140534256
p56,2057,1408.2467112690674
p56,2058,1969.1410990201248
p56,2059,1881.7211787822853
p56,2060,1747.872088020741
p56,2061,1530.0774289949331
p56,2062,1657.962979272216
p56,2063,1928.133950837204
p56,2064,1638.7594488865657
p56,2065,1857.075382591152
p56,2066,1457.0523226838811
p56,2067,1520.9892580804844
p56,2068,1695.5393917185793
p56,2069,1764.7625725941334
p56,2070,1297.875279429741
p56,2071,1416.6721811106554
p56,2072,1380.1790112222257
p56,2073,1807.5923703117332
p56,2074,1575.8248205476584
p56,2075,1564.199538899808
p56,2076,1750.9435423471723
p56,2077,1659.285600144967
p56,2078,1357.966442678249
p56,2079,1240.36684563418
p56,2080,1605.3073255630184
p56,2081,1463.603073505774
p56,2082,1595.9008431574198
p56,2083,1512.2575050578998
p56,2084,1416.630605575942
p56,2085,1406.1510049699957
p56,2086,1268.4427093053364
p56,2087,1442.0422849997815
p56,2088,1635.6284799677396
p56,2089,1531.0088303389866
p56,2090,1609.4402227731646
p56,2091,1465.8416992456166
p56,2092,1057.746210828107
p56,2093,1695.209612905983
p56,2094,1778.833403573237
p56,2095,1414.9667860054317
p56,2096,1239.2106731302322
p56,2097,1050.5032569264763
p56,2098,1571.5190552472673
p56,2099,1476.4113179945823
New Hampshire,2020,4453.0631548035535
New Hampshire,2021,4134.556148505169
New Hampshire,2022,4331.580552301482
New Hampshire,2023,4051.221190058817
New Hampshire,2024,4083.50864803121
New Hampshire,2025,4183.991905898286
New Hampshire,2026,4191.153104825892
New Hampshire,2027,4189.593700694299
New Hampshire,2028,4184.420625718705
New Hampshire,2029,4260.246590655708
New Hampshire,2030,3676.286298567686
New Hampshire,2031,3743.430715600077
New Hampshire,2032,4158.272184166151
New Hampshire,2033,4168.370494873498
New Hampshire,2034,4193.571105857035
New Hampshire,2035,4022.7154680305903
New Hampshire,2036,4088.9665853555216
New Hampshire,2037,4216.5059396024
New Hampshire,2038,3584.81607579266
New Hampshire,2039,3770.233345039169
New Hampshire,2040,4156.157884469634
New Hampshire,2041,3921.263748775735
New Hampshire,2042,3954.183749172048
New Hampshire,2043,4433.561250944041
New Hampshire,2044,4206.001302979886
New Hampshire,2045,4154.676527185345
New Hampshire,2046,3693.8834597947225
New Hampshire,2047,4191.564711829135
New Hampshire,2048,4038.85273124042
New Hampshire,2049,4138.071165196241
New Hampshire,2050,3619.549310390982
New Hampshire,2051,3747.594544537415
New Hampshire,2052,3454.923854226054
New Hampshire,2053,3906.998854009472
New Hampshire,2054,4037.956690927908
New Hampshire,2055,3997.6290066829215
New Hampshire,2056,3657.383049940139
New Hampshire,2057,3709.102898512343
New Hampshire,2058,3892.806821698761
New Hampshire,2059,3945.041047143178
New Hampshire,2060,3826.583475959207
New Hampshire,2061,3554.7844970004267
New Hampshire,2062,3698.62094940092
New Hampshire,2063,3480.8219791105084
New Hampshire,2064,3495.3688666031967
New Hampshire,2065,3600.0114284145798
New Hampshire,2066,3594.442246824574
New Hampshire,2067,3595.627426771316
New Hampshire,2068,3594.4202469999213
New Hampshire,2069,3686.304182462737
New Hampshire,2070,3148.897053161227
New Hampshire,2071,3206.709500374017
New Hampshire,2072,3583.395924977008
New Hampshire,2073,3586.080053217565
New Hampshire,2074,3566.8037565748973
New Hampshire,2075,3422.225339007616
New Hampshire,2076,3490.289301471284
New Hampshire,2077,3565.644249893813
New Hampshire,2078,2978.145406527274
New Hampshire,2079,3147.263103201115
New Hampshire,2080,3479.479391913736
New Hampshire,2081,3242.229613121556
New Hampshire,2082,3305.54644786827
New Hampshire,2083,3722.6371489664944
New Hampshire,2084,3552.4101961289643
New Hampshire,2085,3499.1309668009626
New Hampshire,2086,3023.416562789478
New Hampshire,2087,3512.305846995009
New Hampshire,2088,3373.2710526182395
New Hampshire,2089,3431.1208259381183
New Hampshire,2090,2992.0797930916187
New Hampshire,2091,3153.269379715391
New Hampshire,2092,2889.4539621423523
New Hampshire,2093,3307.5514327606224
New Hampshire,2094,3425.08071338294
New Hampshire,2095,3419.981726966611
New Hampshire,2096,3089.2465634582754
New Hampshire,2097,3114.859098345204
New Hampshire,2098,3280.3635665413867
New Hampshire,2099,3291.2120406822714
Michigan,2020,4285.002705254945
Michigan,2021,4056.974188202401
Michigan,2022,4072.322294153599
Michigan,2023,3920.5670892855137
Michigan,2024,4004.359262855316
Michigan,2025,4055.597380990069
Michigan,2026,3913.385633144596
Michigan,2027,3612.469638217751
Michigan,2028,4021.9824290944457
Michigan,2029,4163.992602617183
Michigan,2030,3575.5825767835327
Michigan,2031,3615.1028912375104
Michigan,2032,3890.945562035312
Michigan,2033,4022.214418841969
Michigan,2034,4022.451530266773
Michigan,2035,3976.744927064184
Michigan,2036,4132.077716354112
Michigan,2037,3938.190689422289
Michigan,2038,3214.972940773092
Michigan,2039,3640.067266057976
Michigan,2040,3825.4996853507632
Michigan,2041,3624.796015418549
Michigan,2042,3797.762363708876
Michigan,2043,4031.527198305048
Michigan,2044,3843.926853828447
Michigan,2045,3814.8605714956857
