region,Year,average_total_load
p93,2097,12693.044790550264
p93,2098,12474.243936420104
p93,2099,12262.26389238413
p95,2042,122160.85409935142
p95,2043,121754.35608964809
p95,2044,121415.87030364235
p95,2045,120834.92135055656
p95,2046,121152.40871184776
p95,2047,122391.24234691155
p95,2048,123218.84833511809
p95,2049,123991.53792147056
p95,2050,124991.23553156253
p95,2051,126023.0733268881
p95,2052,126950.0257263819
p95,2053,127408.99569926708
p95,2054,128785.02642442391
p95,2055,129172.96874558099
p95,2056,130072.61532622171
p95,2057,130823.00040301196
p95,2058,131757.02143091318
p95,2059,132786.4559776966
p95,2060,132758.6645212437
p95,2061,133665.26263938803
p95,2062,134879.37134507392
p95,2063,135289.2095534973
p95,2064,136733.9174003691
p95,2065,136887.58583301873
p95,2066,137759.89840158314
p95,2067,138966.8552975013
p95,2068,139750.3045604673
p95,2069,140990.395567015
p95,2070,141163.5162730985
p95,2071,142289.38486119834
p95,2072,143373.28328816287
p95,2073,143551.21041159786
p95,2074,144471.02636450605
p95,2075,145143.79532960957
p95,2076,146141.2038563566
p95,2077,146003.32670601236
p95,2078,147286.77158762416
p95,2079,147936.24379402387
p95,2080,148287.77297466566
p95,2081,149997.10780458353
p95,2082,150088.43601821383
p95,2083,150975.738981187
p95,2084,151715.58999813863
p95,2085,152348.57102594897
p95,2086,153076.78255185258
p95,2087,153840.93566358974
p95,2088,154488.56944015645
p95,2089,154991.94905369345
p95,2090,155356.13249048023
p95,2091,154644.28973343116
p95,2092,155070.2048848561
p95,2093,155311.2235749757
p95,2094,155739.7185641614
p95,2095,157039.29097237752
p95,2096,156751.08955739965
p95,2097,156931.78308290394
p95,2098,157645.26463943976
p95,2099,157487.09045388878
Kentucky,2055,161357.17824139565
Kentucky,2056,161210.38734770255
Kentucky,2057,156130.51373429399
Kentucky,2058,153821.30840587
Kentucky,2059,150598.75285414702
Kentucky,2060,148134.77222246397
Kentucky,2061,145646.5762125294
Kentucky,2062,143873.97629336445
Kentucky,2063,141585.5827163081
Kentucky,2064,139263.72395455407
Kentucky,2065,137220.75821672668
Kentucky,2066,135446.81328536934
Kentucky,2067,133113.17565158458
Kentucky,2068,131145.70574653323
Kentucky,2069,129534.95320135751
Kentucky,2070,127305.20493712752
Kentucky,2071,125306.5189219828
Kentucky,2072,123420.66821166415
Kentucky,2073,121732.5711169658
Kentucky,2074,119779.99580070219
Kentucky,2075,117857.37178136973
Kentucky,2076,116024.7053195754
Kentucky,2077,113994.48444826319
Kentucky,2078,112291.53856066287
Kentucky,2079,110580.35228266772
Kentucky,2080,108868.04876378008
Kentucky,2081,107205.42509746083
Kentucky,2082,105412.86471643091
Kentucky,2083,103628.55527282787
Kentucky,2084,101950.62318874
Kentucky,2085,100350.2282489187
Kentucky,2086,98715.43567655602
Kentucky,2087,97138.43380371503
Kentucky,2088,95409.89009344116
Kentucky,2089,94026.4321930555
Kentucky,2090,92317.81210381705
Kentucky,2091,90972.27541037527
Kentucky,2092,89523.12187150438
Kentucky,2093,87942.51437464567
Kentucky,2094,86559.84042989697
Kentucky,2095,85378.04121022979
Kentucky,2096,83780.74950717819
Kentucky,2097,82479.59034168135
Kentucky,2098,81188.33783578944
Kentucky,2099,79718.36083280118
p116,2046,71280.34077116376
p116,2047,69725.9500932642
p116,2048,70474.23142671549
p116,2049,70241.4089287355
p116,2050,70695.63440019143
p116,2051,70807.81636190896
p116,2052,70995.87472684724
p116,2053,71358.61909875764
p116,2054,71946.92556514293
p116,2055,72343.09963739777
p116,2056,72874.66844623223
p116,2057,73076.5747967235
p116,2058,73906.0098980114
p116,2059,74212.21555683787
p116,2060,74612.36077442057
p116,2061,75243.85273673566
p116,2062,75633.6931931622
p116,2063,76177.79582481213
p116,2064,76676.66262678709
p116,2065,77047.18039593061
p116,2066,77670.26990298223
p116,2067,77884.84762858078
p116,2068,78466.57342284865
p116,2069,78967.81707562358
p116,2070,79380.81689384973
p116,2071,79622.29002122495
p116,2072,80087.22085017058
p116,2073,80712.29502694351
p116,2074,80985.60265842942
p116,2075,81445.10915221834
p116,2076,81869.41572395015
p116,2077,82504.41115995414
p116,2078,82906.16567512181
p116,2079,83458.07284841256
p116,2080,84038.93559897636
p116,2081,84481.69284574535
p116,2082,85045.82573216909
p116,2083,85473.05340855157
p116,2084,86157.15784336651
p116,2085,86375.99250078131
p116,2086,86971.23663100453
p116,2087,87573.56836072543
p116,2088,88187.82391338244
p116,2089,88525.23332544237
p116,2090,88787.16792975091
p116,2091,89336.24597800894
p116,2092,89803.2833423662
p116,2093,90355.2892412845
p116,2094,90572.4501937718
p116,2095,91158.5005901175
p116,2096,91681.42686890322
p116,2097,91965.3781215852
p116,2098,92456.12550337771
p116,2099,93173.58693608583
p110,2037,16088.626521660175
p110,2038,15391.054018921763
p110,2039,15025.379715973339
p110,2040,14918.428734466135
p110,2041,14620.55162908757
p110,2042,14494.984398045264
p110,2043,14329.564617170605
p110,2044,14143.868893539056
p110,2045,13982.99618967548
p110,2046,13861.823626723097
p110,2047,13714.597894050443
p110,2048,13505.597113580588
p110,2049,13314.854699038833
p110,2050,13184.503672320046
p110,2051,13008.223107647293
p110,2052,12844.873211656633
p110,2053,12675.070353919453
p110,2054,12519.650255003698
p110,2055,12323.213932961933
p110,2056,12183.479269416674
p110,2057,12035.749674738483
p110,2058,11936.539527195953
p110,2059,11759.419245698717
p110,2060,11567.957724432034
p110,2061,11439.51190060807
p110,2062,11292.754986362715
p110,2063,11181.55127861645
p110,2064,10996.589774657157
p110,2065,10850.474461568967
p110,2066,10687.66415203496
p110,2067,10571.648318710313
p110,2068,10442.712537767045
p110,2069,10275.578885908037
p110,2070,10129.606559648553
p110,2071,9984.47104762182
p110,2072,9863.715728706917
p110,2073,9712.966151487512
p110,2074,9610.745858618926
p110,2075,9491.053867958499
p110,2076,9331.165524074522
p110,2077,9222.377404166915
p110,2078,9058.19382817783
p110,2079,8950.541466042705
p110,2080,8780.121872139103
p110,2081,8638.168645173388
p110,2082,8511.808836198563
p110,2083,8400.035762716028
p110,2084,8225.065092785911
p110,2085,8121.862619339739
p110,2086,7973.46080220733
p110,2087,7825.1939385194955
p110,2088,7667.66271389085
p110,2089,7569.290859883097
p110,2090,7489.868530789776
p110,2091,7414.072872143758
p110,2092,7330.632983817504
p110,2093,7255.181428119737
p110,2094,7172.081574298457
p110,2095,7095.357673153933
p110,2096,7013.1396127368525
p110,2097,6943.702396560047
p110,2098,6866.743187165066
p110,2099,6788.079801711638
South Carolina,2042,358248.37169426045
South Carolina,2043,355830.96238687035
South Carolina,2044,356893.4564892377
South Carolina,2045,358405.0090964871
South Carolina,2046,361524.6450644168
South Carolina,2047,363654.1091189816
South Carolina,2048,366237.9222749137
South Carolina,2049,367320.5908205564
South Carolina,2050,370657.27482648205
South Carolina,2051,373656.10055760626
South Carolina,2052,375615.89496054867
South Carolina,2053,377116.19517958304
South Carolina,2054,380068.36042996024
South Carolina,2055,381569.4863152583
South Carolina,2056,383733.77611611114
South Carolina,2057,386599.05393688433
South Carolina,2058,387305.5748873825
South Carolina,2059,389916.9979849154
South Carolina,2060,391881.6736794625
South Carolina,2061,394070.8626324156
South Carolina,2062,397188.03204894444
South Carolina,2063,397356.1233375133
South Carolina,2064,402259.4440720682
South Carolina,2065,402922.3097417487
South Carolina,2066,404894.2908893936
South Carolina,2067,408217.9929925049
South Carolina,2068,410086.3507489548
South Carolina,2069,412915.375038277
South Carolina,2070,413988.60960679146
South Carolina,2071,417981.6206852456
South Carolina,2072,419157.8661820966
South Carolina,2073,420655.7367670527
South Carolina,2074,423113.57381106104
South Carolina,2075,424797.36563497817
South Carolina,2076,427045.2383338929
South Carolina,2077,427798.87881424633
South Carolina,2078,429912.43310892687
South Carolina,2079,431817.9971303046
South Carolina,2080,432927.3330731452
South Carolina,2081,436737.435773436
South Carolina,2082,438055.1908011858
South Carolina,2083,439858.3854020631
South Carolina,2084,441305.92848562717
South Carolina,2085,444247.8180356888
South Carolina,2086,445227.4452734192
South Carolina,2087,446626.7033162319
South Carolina,2088,449274.14473166433
South Carolina,2089,448830.8885785928
South Carolina,2090,448513.9992955944
South Carolina,2091,446364.7831675168
South Carolina,2092,446764.6923995388
South Carolina,2093,447718.8744300827
South Carolina,2094,447976.2532142629
South Carolina,2095,452300.9497798437
South Carolina,2096,452127.28327740764
South Carolina,2097,452321.0144024779
South Carolina,2098,454982.80822701735
South Carolina,2099,453180.2341212773
p66,2083,353417.1358715188
p66,2084,357832.965544445
p66,2085,360913.6459703663
p66,2086,369583.134562601
p66,2087,376487.36556040973
p66,2088,383782.3079166968
p66,2089,388082.83006708114
p66,2090,396665.4036144023
p66,2091,404377.6965967858
p66,2092,411294.7506050676
p66,2093,420308.5675401662
p66,2094,428764.71842546423
p66,2095,437958.8312562366
p66,2096,446997.5440222747
p66,2097,456569.7232029445
p66,2098,465808.72887827037
p66,2099,476435.95386464853
p117,2038,55919.407839843734
p117,2039,56659.97823600182
p117,2040,56699.03137333974
p117,2041,56837.831337050266
p117,2042,56976.05035921379
p117,2043,57238.36047760128
p117,2044,57647.137681011474
p117,2045,58330.24404031819
p117,2046,58811.17878475639
p117,2047,59125.50139278089
p117,2048,59544.69992316386
p117,2049,59821.73890011016
p117,2050,60509.23076829371
p117,2051,60911.99947116317
p117,2052,61323.72606439719
p117,2053,61756.613052463865
p117,2054,62287.992621272366
p117,2055,62542.72779189425
p117,2056,62956.61091296916
p117,2057,63204.10210847101
p117,2058,63631.27931491382
p117,2059,64185.757860748665
p117,2060,64510.95899082517
p117,2061,64856.13373964134
p117,2062,65349.057931121
p117,2063,65924.13460381527
p117,2064,66421.86308897205
p117,2065,66945.28288612077
p117,2066,67250.86820525979
p117,2067,67574.26708834799
p117,2068,68232.60432569914
p117,2069,68410.13821634353
p117,2070,68985.75008733719
p117,2071,69448.7300995999
p117,2072,69746.45172148812
p117,2073,70162.48681545936
p117,2074,70633.02700967056
p117,2075,70817.60869346409
p117,2076,71534.38164224305
p117,2077,71738.77840938857
p117,2078,72167.80061349414
p117,2079,72855.5897241668
p117,2080,73248.14505921173
p117,2081,73682.01129125456
p117,2082,74197.96709742189
p117,2083,74613.01570440357
p117,2084,74954.00577585858
p117,2085,75458.27415244984
p117,2086,75726.3017273582
p117,2087,75842.654049581
p117,2088,76100.92291928793
p117,2089,76285.23917084215
p117,2090,77062.97974241528
p117,2091,77287.31994486242
p117,2092,77223.30699969841
p117,2093,77575.94431496732
p117,2094,77343.23029143816
p117,2095,77543.44389357144
p117,2096,78167.3145667629
p117,2097,78920.30552811304
p117,2098,79663.27960690857
p117,2099,80378.53362843508
Tennessee,2063,370938.46229240106
Tennessee,2064,363758.5858471585
Tennessee,2065,367359.2269380148
Tennessee,2066,366260.02587690635
Tennessee,2067,366562.5609901838
Tennessee,2068,365245.5589180463
Tennessee,2069,365727.67616133456
Tennessee,2070,366191.8169052355
Tennessee,2071,366821.5975017529
Tennessee,2072,367702.4759120472
Tennessee,2073,368577.85628202284
Tennessee,2074,368453.04377957754
Tennessee,2075,370155.7455557718
Tennessee,2076,369969.72849271254
Tennessee,2077,370101.1778122516
Tennessee,2078,371653.56473097316
Tennessee,2079,372270.4665474054
Tennessee,2080,372419.8299454587
Tennessee,2081,373517.73266025743
Tennessee,2082,373059.37621219736
Tennessee,2083,373890.2721036609
Tennessee,2084,374676.9407295514
Tennessee,2085,374746.22490488586
Tennessee,2086,374787.0981034017
Tennessee,2087,376352.6850610143
Tennessee,2088,375430.92579532886
Tennessee,2089,376335.19823284814
Tennessee,2090,377211.06295437424
Tennessee,2091,376895.28108059627
Tennessee,2092,377051.3505625203
Tennessee,2093,377114.25920980907
